"","TI","SO","LeadAuthorFirst","LeadAuthorLast","LeadInitOnly","first.gender.manual","first.gender","first.gender.manual.method","EditorFirst","EditorLast","editor.gender.manual","FirstInst2","Editor.Institution"
"2176","Acceleration of cyanobacterial dominance in north temperate-subarctic lakes during the Anthropocene","ECOLOGY LETTERS","Zofia","sonkoly","no","female",NA,"babynames.com","Punidan","Jeyasingh",NA,"McGill University","Oklahoma State University"
"2177","Convergent Substitutions in a Sodium Channel Suggest Multiple Origins of Toxin Resistance in Poison Frogs","MOLECULAR BIOLOGY AND EVOLUTION","Rebecca","on","no","female","female","","John","McDonald","male","University of Texas","University of Delaware"
"2178","Differential foraging success across a light level spectrum explains the maintenance and spatial structure of colour morphs in a polymorphic bird","ECOLOGY LETTERS","Gareth","park","no","male",NA,"babynames.com","Dave","Hodgson","male","University of Cape Town","University of Exeter"
"2179","Swedish birds are tracking temperature but not rainfall: evidence from a decade of abundance changes","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Catherine","ross","no","female","female","","Karl","Evans","male","Lund University","University of Sheffield"
"2180","Radial distributions of air plants: a comparison between epiphytes and mistletoes","ECOLOGY","Amanda","telonis-scott","no","female","female","","Daniel","Gruner","either","Victoria Univeristy Wellington","University of Maryland"
"2181","The response of migratory populations to phenological change: a Migratory Flow Network modelling approach","JOURNAL OF ANIMAL ECOLOGY","Caz","castro-insua","no","male",NA,"babynamewizard.com","Jennifer","Gill","female","Tulane University","University of East Anglia"
"2182","Drivers of plant invasion vary globally: evidence from pine invasions within six ecoregions","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Kimberley","hawkins","no","female","female","","Linda","Beaumont","female","Montana State University","Macquarie University"
"2183","Mycorrhizal associations of trees have different indirect effects on organic matter decomposition","JOURNAL OF ECOLOGY","Melanie","henriques-silva","no","female","female","","Franciska","deVries","female","University of Georgia","University of Manchester"
"2184","Hunting, food subsidies, and mesopredator release: the dynamics of crop-raiding baboons in a managed landscape","ECOLOGY","Rachel","le feuvre","no","female","female","","Marco","Festa-Bianchet","male","University of South Florida","University of Sherbrooke"
"2185","Why There Are No Essential Genes on Plasmids","MOLECULAR BIOLOGY AND EVOLUTION","Samuel","ruiz-gonzalez","no","male","male","","Manolo","Gouy","male","ETH Zurich","Universite Lyon"
"2186","How far to go? Determinants of migration distance in land mammals","ECOLOGY LETTERS","Claire","thomas","no","either","either","","Marco","Festa-Bianchet","male","Seckenberg Biodiversity and Climate Research Center","University of Sherbrooke"
"2187","Linking demography with drivers: climate and competition","METHODS IN ECOLOGY AND EVOLUTION","Brittany","yvon-durocher","no","female","female","","Jessica","Metcalf","female","Utah State University","Princeton University"
"2188","Covariation in abscission force and terminal velocity of windborne sibling seeds alters long-distance dispersal projections","METHODS IN ECOLOGY AND EVOLUTION","Brittany","meyer","no","female","female","","Satu","Ramula",NA,"Penn State","University of Turku"
"2189","Cross-Study Comparison Reveals Common Genomic, Network, and Functional Signatures of Desiccation Resistance in Drosophila melanogaster","MOLECULAR BIOLOGY AND EVOLUTION","Marina","villellas","no","female","female","","Ilya","Ruvinsky","male","University of Melbourne","University of Chicago"
"2190","Fog as a source of nitrogen for redwood trees: evidence from fluxes and stable isotopes","JOURNAL OF ECOLOGY","Pamela","cleasby","no","female","female","","Amy","Austin","female","Boston University","University of Buenos Aires"
"2191","Do intraspecific or interspecific interactions determine responses to predators feeding on a shared size-structured prey community?","JOURNAL OF ANIMAL ECOLOGY","Hanna","ellington","yes","female","female","","Volker","Rudolf","male","Umea University","Rice University"
"2192","Continental-scale travelling waves in forest geometrids in Europe: an evaluation of the evidence Response","JOURNAL OF ANIMAL ECOLOGY","Olle","marrot","no","male","male","","Andrew","White","male","Swedish University of Agricultural Sciences","Heriot-Watt University"
"2193","Spatiotemporal fire dynamics in mixed-conifer and aspen forests in the San Juan Mountains of southwestern Colorado, USA","ECOLOGICAL MONOGRAPHS","Alan","reynolds","no","male","male","","Michael","Wimberly","male","University of Colorado","South Dakota State University"
"2194","How to capture fish in a school? Effect of successive predator attacks on seabird feeding success","JOURNAL OF ANIMAL ECOLOGY","Andrea","gralinski","no","either","either","","John","Quinn","male","","University College Cork"
"2195","Ontogenetic shifts in a freshwater cleaning symbiosis: consequences for hosts and their symbionts","ECOLOGY","Michael","ambrosini","no","male","male","","Todd","Palmer","male","Appalacian State University","University of Florida"
"2196","Environment and evolutionary history determine the global biogeography of phytoplankton temperature traits","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Mridul","bestion","no",NA,NA,"","Janne","Soininen",NA,"Michigan State University","University of Helsinki"
"2197","Biological Flora of the British Isles: Fraxinus excelsior","JOURNAL OF ECOLOGY","Peter","debecker","no","male","male","","",NA,NA,"Keele University",""
"2198","Tropical trees in a wind-exposed island ecosystem: height-diameter allometry and size at onset of maturity","JOURNAL OF ECOLOGY","Sean","krauel","no","either","either","","Peter","Bellingham","male","University of Toronto","Landcare Research, Lincoln University"
"2199","Predicting rates of isotopic turnover across the animal kingdom: a synthesis of existing data","JOURNAL OF ANIMAL ECOLOGY","Stephen","levy","no","male","male","","Stuart","Bearhop","male","University of Helsinki","University of Exeter"
"2200","Annual Killifish Transcriptomics and Candidate Genes for Metazoan Diapause","MOLECULAR BIOLOGY AND EVOLUTION","Andrew","mindel","no","male","male","","Meredith","Yeager","either","George Washington University","National Cancer Institute"
"2201","No influence of water limitation on the outcome of competition between diploid and tetraploid Chamerion angustifolium (Onagraceae)","JOURNAL OF ECOLOGY","Ken","olsson-pons","no","male","male","","Stephen","Bonser","male","University of Guelph","University of New South Wales"
"2202","Ecosystem multifunctionality in metacommunities","ECOLOGY","Patrick","regan","no","male","male","","Nathan","Kraft","male","McGill University","University of Maryland"
"2203","Resource specialists lead local insect community turnover associated with temperature - analysis of an 18-year full-seasonal record of moths and beetles","JOURNAL OF ANIMAL ECOLOGY","Philip","ruokolainen","no","male","male","","Ben","Woodcock","male","University of Copenhagen","Centre for Ecology and Hydrology"
"2204","Local bumble bee decline linked to recovery of honey bees, drought effects on floral resources","ECOLOGY LETTERS","Diane","vindenes","no","female","female","","Rebecca","Irwin","female","WM Keck Science Department","Dartmouth College"
"2205","Changes in the dominant assembly mechanism drive species loss caused by declining resources","ECOLOGY LETTERS","Simon","baker","no","male","male","","Peter","Thrall","male","Bavarian Forest National Park","CSIRO Plant Industry"
"2206","Evaluation and management implications of uncertainty in a multispecies size-structured model of population and community responses to fishing","Methods in Ecology and Evolution","Robert","fontanillas","no","male","male","","Matthew","Spencer","male","Lowestoft Lab","University of Otago"
"2207","Joint dynamic species distribution models: a tool for community ordination and spatio-temporal monitoring","GLOBAL ECOLOGY AND BIOGEOGRAPHY","James","gout","no","male","male","","Alberto","Jimenez-Valverde","male","NOAA Northwest Fisheries Science Center","Universidad de Alcala"
"2208","Model-based inference for estimating shifts in species distribution, area occupied and centre of gravity","METHODS IN ECOLOGY AND EVOLUTION","James","kaltenbach","no","male","male","","Olivier","Gimenez","male","NOAA Northwest Fisheries Science Center","CNRS"
"2209","Spatial factor analysis: a new tool for estimating joint species distributions and correlations in species range","METHODS IN ECOLOGY AND EVOLUTION","James","maddamsetti","no","male","male","","David","Warton","male","NOAA Northwest Fisheries Science Center","University of New South Wales"
"2210","The impact of irradiance on optimal and cellular nitrogen to phosphorus ratios in phytoplankton","ECOLOGY LETTERS","Jan-Erik","mannakee","no","either",NA,"first name alone","Helmut","Hillebrand","male","University of Oslo","University of Oldenburg"
"2211","From species distributions to meta-communities","ECOLOGY LETTERS","Wilfried","sarda","no",NA,NA,"","Howard","Cornell","male","Universite Grenoble Alpes","University of California Davis"
"2212","The crabs that live where hot and cold collide","JOURNAL OF ANIMAL ECOLOGY","Andrew","tanaka","no","male","male","","Graeme","Hays","male","","Deakin University"
"2213","Dynamic optimal foraging theory explains vertical migrations of Bigeye tuna","ECOLOGY","Uffe","voordeckers","no",NA,NA,"","Douglas","Speirs","male","Technological University of Denmark","University of Strathclyde"
"2214","A novel soil manganese mechanism drives plant species loss with increased nitrogen deposition in a temperate steppe","ECOLOGY","Qiuying","wu","no",NA,NA,"","Serita","Frey","female","Chinese Academy of Sciences","University of New Hampshire"
"2215","Causes and consequences of repeatability, flexibility and individual fine-tuning of migratory timing in pike","JOURNAL OF ANIMAL ECOLOGY","Petter","boucher-lalonde","no",NA,NA,"","John","Quinn","male","Linneaus University","University College Cork"
"2216","Crop rotational diversity enhances belowground communities and functions in an agroecosystem","ECOLOGY LETTERS","L.","maldonado","no",NA,NA,"","David","Hooper","male","University of New Hampshire","Western Washington University"
"2217","An integrated occupancy and space-usemodel to predict abundance of imperfectly detected, territorial vertebrates","METHODS IN ECOLOGY AND EVOLUTION","Morgan","moncrieff","no","either","either","","Robert","Freckleton","male","University of Connecticut","University of Sheffield"
"2218","Threatened and invasive reptiles are not two sides of the same coin","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Reid","harder","no","male","male","","Thomas","Hickler","male","University of Melbourne","Goethe Universitat Frankfurt am Main"
"2219","Rates of climatic niche evolution are correlated with species richness in a large and ecologically diverse radiation of songbirds","ECOLOGY LETTERS","Pascal","lee-yaw","no","male","male","","Arne","Mooers","male","San Diego State University","Simon Fraser University"
"2220","A neutral-metabolic theory of latitudinal biodiversity","GLOBAL ECOLOGY AND BIOGEOGRAPHY","Derek","luis","no","male","male","","Brian","Enquist","male","Dalhousie University","University of Arizona"
"2221","Fast Dating Using Least-Squares Criteria and Algorithms","SYSTEMATIC BIOLOGY","Thu-Hien","tur","yes","either",NA,"first name alone","Lars","Jermiin","male","Universite de Montpellier","CSIRO"
